specialization, responsibilities, requirements, terms, skills, notes
Строительный рабочий,"🔨В связи с развитием компании мы ищем в нашу команду опытного строительного рабочего!  Об обязанностях: — Участие в строительных работах на объектах компании; — Наличие навыков обращения со строительным инструментом и оборудованием;  🤝Мы ждем от кандидата: — Опыт работы в строительстве от 1 года; — Навыки чтения чертежей; — Желание работать в команде; 💰Об условиях работы: — Оплата труда: от 50 000 руб.; — Ежемесячная премия в размере 3 000 руб. помимо оклада; — Сезонность: не влияет на количество заявок, работа обеспечена круглый год; — Воспользоваться предоставленным спецодеждой и инструментом компании.  🏠Об условиях проживания: — Бесплатное проживание и три раза в день питание для иногородних в комфортном общежитии; — На территории общежития есть душ, кухня и общая комната отдыха.","👉 Требования: - Наличие паспорта РФ и согласия на обработку персональных данных; - Наличие медицинской книжки (желательно); - Готовность к работе на высоте; - Ответственность и исполнительность.💼Обязанности: - Обеспечение установки, эксплуатации и ремонта строительных механизмов и машин; - Проведение технического обслуживания техники, диагностика неисправностей и проведение необходимого ремонта.📈Условия:  - График работы 5/2, по 8 часов; - Оклад от 60 000 руб.; - Стабильная и своевременная оплата труда; - Официальное трудоустройство; - Возможность обучения профессиональным навыкам; - Общежитие в теплом и комфортном жилом помещении с необходимыми удобствами.","💼Об условиях работы на проектах: - График работы 5/2, с 9:00 до 18:00; - Опытные коллеги помогут быстро адаптироваться к работе; - Работа на интересных проектах с применением новейших инженерных решений и материалов; - Возможность карьерного роста; - Достойный уровень оплаты труда: от 55 000 руб. 🔥Присоединяйтесь к нашей команде, ЗВОНИТЕ!",Навыки работы со строительным инструментом и оборудованием.
Машинист бульдозера,🔥В связи с расширением нашей компании мы приглашаем кандидатов на должность машиниста бульдозера! Обязанности: — Управление бульдозером на строительной площадке; — Участие в планировке и выравнивании грунта; — Следить за состоянием техники во время работы. 🤝Мы ждем от кандидата: — Опыт работы на предыдущей должности от 1 года; — Умение правильно настраивать и использовать машину; — Желание работать в команде. 💰Об условиях работы: — Оплата труда: от 70 000 руб.; — Премия в размере 10% от заработной платы; — Возможность работать вахтовым методом или постоянно проживать в г. Москва; — Официальное трудоустройство; — Выдача спецодежды и инструмента. 🏠Об условиях проживания: — Предоставление жилья на период работы за счет компании; — Бесплатное проживание и питание в комфортабельном жилом помещении рядом с площадкой.,"👉 Требования: - Наличие удостоверения машиниста бульдозера; - Опыт работы на аналогичной должности не менее 3 лет; - Наличие медицинской книжки; - Опыт работы с GPS-навигацией (желательно); - Грамотная устная и письменная речь. 💼Обязанности: - Управление бульдозером на строй площадке (рытье котлованов, заровнять землю, сделать площадки под дороги, площадки под боксы и т.д.); - Ответственное обращение с техникой; - Обеспечение бульдозером качественной и своевременной доставки строительного материала. 📈Условия: - График работы по договоренности; - Оклад от 75 000 руб.; - Официальное трудоустройство; - Стабильность и официальность. 🔥Присоединяйтесь к нашей команде, ЗВОНИТЕ!","💼Об условиях работы на проектах: - График работы 6/1, с 9:00 до 18:00; - Работа на интересных проектах с применением новейших инженерных решений и материалов; - Возможность карьерного роста; - Достойный уровень оплаты труда: от 80 000 руб.; - Компенсации за длительную работу в нестандартных условиях. 🔥Присоединяйтесь к нашей команде, ЗВОНИТЕ!","Опыт работы на машине, знание опасности на рабочем месте, умение правильно настроить и использовать машину, управление бульдозером на строй площадке, ответственное обращение с техникой."
Специалист по строительству дорог,"ООО "" СП ВИС-МОС"" - компания, выполняющая функции генерального подрядчика на объектах строительства для заказчиков инфраструктурной отрасли.  Должностные обязанности:  — Организация работ по строительству дорог и путей различного назначения, в том числе с использованием буровых комплексов.   — Подготовка рабочих чертежей, смет и спецификаций для строительства дорог;   — Контроль хода выполнения работ, проверка качества работ и соответствия их проектной документации;   — Координация работ на строительной площадке с другими проектными единицами, субподрядчиками и заказчиком;   — Организация и управление техническим персоналом и подрядчиками на объектах строительства.", — Опыт работы в строительной отрасли не менее 3 лет;   — Образование высшее в области строительства дорог;   — Знание СНИП и НПБ по строительству дорог;   — Опыт работы с буровыми комплексами.,График работы: 45/45   — Проезд до места работы и обратно за счет компании   — Питание организовано на объекте за счет компании   — Работа на территории различных регионов России.,"Строительство дорог, использование буровых комплексов, знание СНИП и НПБ.",
Машинист бурового комплекса,"ООО "" СП ВИС-МОС"" - компания, выполняющая функции генерального подрядчика на объектах строительства для заказчиков нефтегазовой отрасли.  Должностные обязанности:  — Эксплуатация буровой установки ZJ-30, ZJ-40 в качестве машиниста.   — Участие в выполнении буровых и вспомогательных работ на буровом комплексе.   — Контроль, ремонт, обслуживание буровой установки и вспомогательного оборудования.   — Управление буровой установкой в процессе переездов, передвижек, мобилизацию.   — Обеспечение выполнения сотрудниками рабочей смены планов работ, технологии производства, требований техники безопасности и окружающей среды.  Требования:  —.  Условия труда:  — "," Знание конструкций, принципов устройства и эксплуатации буровых установок.   — Знание правил безопасности в нефтяной и газовой промышленности.   — Опыт работы в качестве машиниста буровой не менее 3-х лет; удостоверение машиниста трактора, катег. А3;   — Опыт работы на буровых установках с талевой системой",График работы: 45/45   — Проезд до места работы и обратно за счет компании   — Питание организовано на объекте за счет компании   — Работа на месторождениях о.Сахалин.,"Эксплуатация буровых установок, управление оборудованием, контроль и обслуживание техники.",
Машинист крана,"ООО "" СП ВИС-МОС"" - компания, выполняющая функции генерального подрядчика на объектах строительства для заказчиков инфраструктурной отрасли. Должностные обязанности:  — Управление краном радиоуправления;   — Погрузка и разгрузка материала;   — Перенос и перемещение тяжелых грузов;   — Работа с высотой.  Требования:  —.  Условия труда:  —",Опыт работы в качестве машиниста крана не менее 3-х лет; Слесарный опыт приветствуется.,График работы: 45/45   — Проезд до места работы и обратно за счет компании   — Питание организовано на объекте за счет компании   — Работа на территории различных регионов России.,"Управление краном, работа с высотой.",
Слесарь по ремонту оборудования,"Описание работодателя: Компания &quot;ГрадСтрой&quot; специализируется на строительстве зданий и сооружений различного назначения. Обязанности: Ремонт и обслуживание оборудования на строительных объектах. Выполнение ремонтных работ, замена деталей и узлов оборудования, ведение технической документации. Работа вахтовым методом, график работы - 14 дней вахты, 14 дней отдыха.","Требования: опыт работы слесарем по ремонту оборудования на строительных объектах, знание техники безопасности при работе с оборудованием, умение читать техническую документацию, ответственность, исполнительность, коммуникабельность.","Условия: Оформление по ТК РФ, зарплата выплачивается 1 раз в месяц. Бесплатное питание и проживание на время вахты. Доставка на объекты строительства компании. ","Ключевые навыки: навыки ремонта и обслуживания различного оборудования, готовность работать вахтовым методом, умение читать техническую документацию.",
Слесарь по ремонту оборудования,"Описание работодателя: Компания &quot;ЭКО-УФА&quot; специализируется на оперативных управленческих и производственных решениях сортировки, переработки и утилизации твердых бытовых отходов (ТБО) на Полигоне ТБО вблизи поселка Новые Черкассы. Обязанности: Устранение неполадок на оборудовании, проведение планово-предупредительных ремонтов, техническое обслуживание оборудования на базе. График работы: пятидневная рабочая неделя с 8.00 до 17.00, обеденный перерыв - 1 час. ","Требования: опыт работы инженером по техническому обслуживанию промышленного оборудования, знание техники безопасности на производстве, умение читать технические чертежи и документацию, наличие водительских прав категории B. ",Условия: Оформление по ТК РФ. Зарплата выплачивается 2 раза в месяц: аванс и расчет. Доставка по месту работы осуществляется бесплатно. Возможность профессионального роста.,"Ключевые навыки: знание принципов работы и ремонта промышленного оборудования, умение читать техническую документацию, наличие водительских прав.",
"Плотник, строитель","Описание работодателя: строительство бытовок, беседок. Обязанности:  строительство бытовок, беседок,порядок на территории.","Обучаемость, порядочность.",Работа на объектах иногда.,,
Строитель,"Описание работодателя: строительство жилых домов. Обязанности: строительство жилых домов, архитектурное проектирование, контроль качества строительства.","Наличие специального образования, опыт работы в области строительства.",,,"Можно также рассматривать соискателей без опыта работы, но с образованием в области строительства."
Плотник,"Описание работодателя: изготовление деревянной мебели на заказ. Обязанности: изготовление деревянной мебели на заказ, подбор материалов, проведение консультаций с заказчиками.","Опыт работы в столярном деле, творческий подход.",Работа в цехе.,,
Слесарь - сантехник,Описание работодателя: База отдыха расположена на берегу р.Волга. Срубовые дома.  Требования: . Условия: Обязанности: обслуживание жилого номерного фонда базы и территории,"Профессиональные навыки. Мобильность, аккуратность, умение общаться с отдыхающими и в большом рабочем коллективе.","График работы 6/1. своевременная выплата з/п,  + 2-х разовое питание,проживание.",,
Строитель,Описание работодателя: Строительная компания находится в центре города. Строительство многоэтажных зданий. Требования: . Условия: Обязанности: монтаж и демонтаж строительных конструкций на объектах,"Профессиональные навыки. Мобильность, аккуратность, умение работать в большом рабочем коллективе.",График работы 5/2. Своевременная выплата з/п.,,
Слесарь - сантехник,Описание работодателя: Компания занимается строительством инженерных систем. Требования: . Условия: Обязанности: монтаж и демонтаж сантехнических конструкций на объектах,"Профессиональные навыки. Мобильность, аккуратность, умение работать в большом рабочем коллективе.",График работы 5/2. Своевременная выплата з/п.,,
Бетонщик-монтажник (Вахта в Москву),Требуются РАБОЧИЕ с  умением ВЯЗКИ АРМАТУРЫ и ОПЫТОМ НА МОНОЛИТНЫХ РАБОТАХ  (без корочек) для работы в г.МОСКВА на строительных объектах.,"Требования: Опыт работы на строительных объектах не менее 2 лет. Умение читать чертежи и схемы. Ответственность, исполнительность, внимательность к деталям.",Условия: Вахтовый метод работы 60/30; • З/П от 67 090 руб. до 80 290 руб. ЗА МЕСЯЦ; • ОПЛАТА ПРОЕЗДА; • БЕСПЛАТНОЕ проживание; • БЕСПЛАТНОЕ питание; • Выплаты  БЕЗ ЗАДЕРЖЕК ЕЖЕМЕСЯЧНО 15 и 30 числа; • СПЕЦОДЕЖДА и СИЗ ЗА СЧЕТ ОРГАНИЗАЦИИ.,,
Штукатур,Требуются РАБОЧИЕ с опытом штукатурных работ для работы на строительных объектах.,"Требования: Опыт работы на строительных объектах не менее 2 лет. Умение читать чертежи и схемы. Ответственность, исполнительность, внимательность к деталям.","Условия: Работа постоянная, соцпакет.",,
Бетонщик-монтажник (Москва),Требуются РАБОЧИЕ с  умением ВЯЗКИ АРМАТУРЫ и ОПЫТОМ НА МОНОЛИТНЫХ РАБОТАХ  (без корочек) для работы на строительных объектах в Москве.,"Требования: Опыт работы на строительных объектах не менее 2 лет. Умение читать чертежи и схемы. Ответственность, исполнительность, внимательность к деталям.","Условия: Работа постоянная, соцпакет. З/П от 80 000 руб. до 100 000 руб. ЗА МЕСЯЦ.",,
Инженер-конструктор,"Работа вахтовым методом в Ярославскую область (40 км от г. Ярославль) на предприятие по производству запчастей для авиации, гражданской продукции требуются инженеры-конструкторы 1-3 категории.   .  Обязанности:   1. Работы по сертификации разработчика, изготовителя, типа. Разработка сертификационного базиса, руководства разработчика, стандартов организации.  2. Разработка ЭД, ТУ, инструкций, документации ОКР,  3. Разработка КД на детали и узлы ДВС. ПО: Т-Flex, NX Simens  4. И другие виды выполняемых работ (по запросу)",Опыт работы от 1-го года,"Оформление по ТК РФ, график работы 6 дней в неделю по 12 часов в день, стабильная оплата труда.  - проживание в квартирах в пешей доступности от завода  - медосмотр оплачиваем - проходите на месте  - оплата проезда - билетов до 5000 руб",,
Инженер-строитель,Работа вахтовым методом в Свердловскую область (70 км от Екатеринбурга) на строительный объект требуются инженеры-строители 1-3 категории. Обязанности: 1. Разработка документации на проектирование и строительство объекта. 2. Контроль за соответствием выполнения работ нормативным и техническим требованиям 3. Участие в согласовании проектной документации и работе с заказчиком  и другие виды выполняемых работ (по запросу),Опыт работы от 1 года,"Оформление по ТК РФ, график работы 5/2 по 8 часов в день, стабильная оплата труда. Проживание в общежитии на территории строительного объекта. Медосмотр оплачиваем - на месте. Оплата проезда - билетов до 5000 руб.",,
Инженер-конструктор,"Требуются инженеры-конструкторы 1-3 категории для работы в г. Москва на разрабатываемых инженерных системах зданий. Обязанности: 1. Разработка проектной документации для систем отопления, кондиционирования, вентиляции и пр. 2. Разработка рабочих чертежей и КД на детали систем. 3. Работы по техническому надзору за проектируемыми системами. 4. Работы по согласованию проектной документации с заказчиком и органами государственного надзора и контроля. 5. И другие виды работ (по запросу)",Опыт работы от 1 года,"Оформление по ТК РФ, график работы 5/2 по 8 часов в день, стабильная оплата труда. Офис расположен в центре города. Возможно оформление на полный рабочий день или на удаленную работу. Медосмотр оплачиваем - на месте.",,
Инженер-конструктор вахтой в г. Гаврилов-Ям,"Разработка ПД, ТУ, инструкций и документальной базы для строительства объектов","Опыт работы в области строительства, диплом инженера-строителя, знание СНиП и ГОСТ","График работы 6\1 по 11 часов, проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате, питание за свой счет, рабочая одежда выдается после 10 отработанных смен, проезд компенсируется","Знание СНиП, ГОСТ, программных обеспечений для проектирования и расчетов","Компания находится в г. Гаврилов-Ям, застройка объектов в Москве и области"
Инженер-конструктор вахтой в г. Гаврилов-Ям,"Разработка КД на детали и узлы строительных конструкций, анализ проектной документации, участие в строительных испытаниях","Опыт работы на строительных площадках, знание нормативно-технической документации, образование инженера-строителя","График работы 6\1 по 11 часов, проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате, питание за свой счет, рабочая одежда выдается после 10 отработанных смен, проезд компенсируется","Знание нормативно-технической документации, опыт работы на строительных площадках, умение работать с компьютером и программным обеспечением",Работа на строительных площадках в Москве и области
Инженер-конструктор вахтой в г. Гаврилов-Ям,"Разработка конструкторской документации, моделирование и расчет узлов механических систем","Опыт работы инженером-механиком, знание программных средств для конструирования, образование в сфере машиностроения","График работы 6\1 по 11 часов, проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате, питание за свой счет, рабочая одежда выдается после 10 отработанных смен, проезд компенсируется","Знание программных средств для конструирования, умение проводить механические расчеты, опыт работы инженером по механике","Компания находится в г. Гаврилов-Ям, работа в отрасли машиностроения"
Инженер пнр,"1. Выполнение пуско-наладочных работ (обслуживание) на объекте заказчика (производственных площадках и опасных объектах)
2. Проработка технического решения, расчёт спецификации и ведомости работ по построению новых систем, настройка и обслуживание существующих систем: 
- телекоммуникационное оборудование (маршрутизаторы, коммутаторы);
- оборудование радиосвязи;
- сетевое оборудование (маршрутизаторы, коммутаторы);
- АТС;
- системы видеонаблюдения;
- СКУД;
- охранно-пожарные системы;
- промышленные контроллеры, АСУТП, SCADA, администрирование операционных систем и сервисов, систем виртуализации (при наличии опыта)","Высшее техническое образование;
- Знание в совершенстве сетевых технологий (TCP/IP). Наличие сертификатов приветствуется;
- Умение программировать. Наличие сертификатов по обучению работы с контроллерами, АСУТП, SCADA приветствуется;
- Знание нормативной документации по АПС приветствуется;
- Знание норм проектирования, составление исполнительной документации приветствуется;
- Отсутствие противопоказаний при работе в электроустановках и на высоте;
- Опыт работы инженером связи в эксплуатации или в строительстве не менее 3 лет; 
- Знание на уровне опытного пользователя продуктов MS Office(Excel, Word), AutoCAD;
- Умение читать, понимать и переводить техническую литературу на английском языке;
- Водительские права категории B","1) Трудоустройство в соответствии с ТК РФ; 
2) Пятидневная рабочая неделя; 
3) Испытательный срок 3 месяца; 
4) Командировки по РК 5)Полный рабочий день",,
Инженер-электроник,"1. Выполнение пуско-наладочных работ (обслуживание) на объекте заказчика (производственных площадках и опасных объектах)
2. Проработка технического решения, расчёт спецификации и ведомости работ по построению новых электронных систем, настройка и обслуживание существующих систем: 
- электрические схемы;
- печатные платы;
- электронные компоненты;
- приборы и датчики;
- микроконтроллеры;
- администрирование операционных систем и сервисов, систем виртуализации (при наличии опыта)","Высшее техническое образование;
- Понимание принципов работы микроконтроллеров;
- Опыт разработки печатных плат;
- Знание норм проектирования, составление исполнительной документации приветствуется;
- Отсутствие противопоказаний при работе в электроустановках и на высоте;
- Опыт работы инженером-электроником не менее 3 лет; 
- Знание на уровне опытного пользователя продуктов MS Office(Excel, Word);","1) Трудоустройство в соответствии с ТК РФ; 
2) Пятидневная рабочая неделя; 
3) Испытательный срок 3 месяца;
4)Полный рабочий день",,
Инженер-проектировщик,"1. Проектирование элементов строительных конструкций и систем инженерных коммуникаций;
2. Разработка технических решений, составление проектной и рабочей документации;
3. Участие в разработке схем, чертежей, моделей и комплектовочных данных в программном обеспечении;","Высшее техническое образование;
- Знание технологии промышленного проектирования, конструкционных материалов и соединительных элементов, сварочных технологий;
- Знание нормативно-технической документации по проектированию;
- Опыт работы инженером-проектировщиком в области строительства не менее 3 лет;
- Умение работать в программных комплексах AutoCAD, КОМПАС, Archicad;
- Знание норм и правил техники безопасности","1) Трудоустройство в соответствии с ТК РФ; 
2) Испытательный срок 3 месяца; 
3) Командировки по РК;
4) Полный рабочий день",,
Иженер-геодезист,"Описание работодателя:   ООО ""ЗЕМЛЕУСТРОЙСТВО И КАДАСТРЫ""  Наша команда готова делиться своими знаниями, опытом и практикой, полученными в результате многолетней работы в сфере геодезической деятельности.  Требования:   - Умение работать с геодезическим оборудованием (тахеометр; GNSS оборудование ) -  будет плюсом для кандидата.  Обязанности:  - Выполнение топографо-геодезических работ:     • топографическая съёмка;     • исполнительная съёмка;     • выполнение разбивочных работ;     • камеральная обработка; - Выполнение работ по сопровождению строительства (полевые работы и камеральная обработка с составлением исполнительной документации); - Составление технической документации (тех.отчёты, акты выноса и т.д.)  Условия работы:  • ","Знание специализированных программ (AutoCad и его аналоги, DeltaDigitals, знание других прикладных программ будет плюсом); - Знание нормативно-методической документов по производству геодезических работ; - Личностные качества:     • пунктуальность;     • трудолюбие;     • исполнительность. - Наличие прав категории Б","Работа в г. Калининград; • Официальное трудоустройство и заработная плата от 80 000 рублей, оплачиваемый отпуск/больничный; • Возможны выплаты премий по итогам месяца; • Пятидневная рабочая неделя, рабочий день с 08:00 до 17:00 или с 09:00 до 18:00;",,
Инженер-строитель,"Описание работодателя:   ООО ""ЗЕМЛЕУСТРОЙСТВО И КАДАСТРЫ""  Наша команда готова делиться своими знаниями, опытом и практикой, полученными в результате многолетней работы в сфере строительного проектирования.  Требования:   - Умение работать с различными строительными программами (AutoCad, Revit, ArchiCAD и т.д.) -  будет плюсом для кандидата.  Обязанности:  - Разработка и создание проектной документации;     • выполнение расчетов и выбора материалов;     • разработка чертежей и ведение проектной документации;     • взаимодействие с подрядчиками и надзорными органами; - Организация и контроль работы стройбригад; - Составление технической документации (тех.отчеты, планы строительства и т.д.)  Условия работы:  • ","Знание различных строительных программ (AutoCad, Revit, ArchiCAD и т.д.); - Знание нормативных документов по строительству; - Личностные качества:     • пунктуальность;     • трудолюбие;     • исполнительность.",,,
Иженер-геодезист,"Описание работодателя:   ООО ""ЗЕМЛЕУСТРОЙСТВО И КАДАСТРЫ""  Одна из деятельностей нашей компании - строительство жилых и коммерческих комплексов. Требования:   - Умение работать с геодезическим оборудованием (тахеометр; GNSS оборудование ) -  будет плюсом для кандидата.  Обязанности:  - Выполнение топографо-геодезических работ:     • топографическая съёмка;     • исполнительная съёмка при строительстве домов;     • выполнение разбивочных работ;     • камеральная обработка; - Организация и контроль работы стройбригад, и работ с ними в целом, в том числе сопровождения строительства (полевые работы и камеральная обработка с составлением исполнительной документации); - Составление технической документации (тех.отчёты, акты выноса и т.д.)  Условия работы:  • ","Знание специализированных программ (AutoCad и его аналоги, DeltaDigitals, знание других прикладных программ будет плюсом); - Знание нормативно-методической документов по производству геодезических работ; - Личностные качества:     • пунктуальность;     • трудолюбие;     • исполнительность. - Наличие прав категории Б","Работа на строительных объектах; • Официальное трудоустройство и заработная плата от 80 000 рублей, оплачиваемый отпуск/больничный; • Возможны выплаты премий по итогам месяца; • Пятидневная рабочая неделя, рабочий день с 08:00 до 17:00 или с 09:00 до 18:00;",,
Иженер-геодезист,"Описание работодателя:   ООО ""ЗЕМЛЕУСТРОЙСТВО И КАДАСТРЫ""  Наша команда готова делиться своими знаниями, опытом и практикой, полученными в результате многолетней работы в сфере геодезической деятельности.  Требования:   - Умение работать с геодезическим оборудованием (тахеометр; GNSS оборудование ) -  будет плюсом для кандидата.  Обязанности:  - Выполнение топографо-геодезических работ:     • топографическая съёмка сельскохозяйственных угодий;     • исполнительная съёмка;     • выполнение разбивочных работ;     • камеральная обработка; - Подготовка и оформление землеустроительной документации; - Составление технической документации (тех.отчёты, акты выноса и т.д.)  Условия работы:  • ","Знание специализированных программ (AutoCad и его аналоги, DeltaDigitals, знание других прикладных программ будет плюсом); - Знание нормативно-методической документов по производству геодезических работ; - Личностные качества:     • пунктуальность;     • трудолюбие;     • исполнительность. - Наличие прав категории Б","Работа в г. Калининград; • Официальное трудоустройство и заработная плата от 80 000 рублей, оплачиваемый отпуск/больничный; • Возможны выплаты премий по итогам месяца; • Пятидневная рабочая неделя, рабочий день с 08:00 до 17:00 или с 09:00 до 18:00;",,
"Монтажник-кабельщик сетей связи опс, волс","Описание работодателя:   По монтажу систем безопасности на новых объектах строительства требуются сплоченные бригады и монтажники -одиночки , хорошо знающие своё дело и готовые за хорошую зарплату качественно выполнять свою нелёгкую работу.  Объектов -много. Подробности -при встрече.  Работа в Екатеринбурге и  Свердловской области.   Командировки - не частые , но полностью за счёт фирмы.  Оплата труда сдельная.   Условия работы:",Требования к соискателю:Опыт монтажника систем безопасности-желателен.,"Условия:Жильё, проезд, обучение, экипировка-всё за счёт фирмы.  Шикарная природа, Край рыбалки и охоты (многие за деньги едут сюда , а вы за деньгами). Свежий воздух ,Экскурсии в заброшенные деревни-всё это вас ждёт (при желании конечно)",,
